Step,Point,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z
1,0,0.337973,-0.105084,0.286995,-0.221472,0.0533034,0.389545
1,1,0.302135,0.412624,-0.299935,0.369515,0.0976651,0.251345
1,2,-0.167706,0.269124,-0.226762,-0.292834,0.089423,-0.453662
1,3,0.0520726,-0.0260737,0.131899,-0.18974,-0.347078,0.302776
2,0,0.334894,-0.104163,0.290259,-0.307893,0.0921221,0.326394
2,1,0.305369,0.413226,-0.297093,0.32339,0.0602319,0.284244
2,2,-0.169994,0.269848,-0.230998,-0.228857,0.0723981,-0.423617
2,3,0.0508609,-0.0293881,0.134929,-0.121172,-0.331439,0.302983
3,0,0.330942,-0.102861,0.292881,-0.395223,0.130147,0.262245
3,1,0.308146,0.413459,-0.293931,0.277673,0.0232631,0.316165
3,2,-0.171656,0.270406,-0.234933,-0.166203,0.0558652,-0.393533
3,3,0.0503531,-0.0325477,0.13798,-0.0507776,-0.315963,0.305128
4,0,0.326099,-0.101185,0.294846,-0.484274,0.167647,0.196514
4,1,0.310468,0.413325,-0.290459,0.232218,-0.0133807,0.347259
4,2,-0.172702,0.270804,-0.238567,-0.104629,0.0397988,-0.363373
4,3,0.0505746,-0.0355553,0.141076,0.0221546,-0.300752,0.309605
5,0,0.320339,-0.0991361,0.296132,-0.575972,0.204874,0.128529
5,1,0.312337,0.412827,-0.286682,0.186885,-0.0498322,0.377662
5,2,-0.173142,0.271046,-0.241898,-0.0439079,0.0241769,-0.333096
5,3,0.0515593,-0.0384143,0.144245,0.0984648,-0.285906,0.316909
6,0,0.313625,-0.0967153,0.296706,-0.671428,0.242082,0.0574763
6,1,0.313752,0.411965,-0.282607,0.141534,-0.0862197,0.4075
6,2,-0.17298,0.271136,-0.244925,0.0161773,0.00898085,-0.302652
6,3,0.0533511,-0.0411296,0.147522,0.179185,-0.27153,0.327679
7,0,0.305905,-0.09392,0.29653,-0.772028,0.279531,-0.0176697
7,1,0.314712,0.410738,-0.278238,0.0960267,-0.12267,0.436887
7,2,-0.172221,0.271078,-0.247645,0.0758345,-0.00580454,-0.271988
7,3,0.0560075,-0.0437071,0.150949,0.265635,-0.257743,0.342775
8,0,0.297109,-0.090745,0.295547,-0.879592,0.317498,-0.0982663
8,1,0.315215,0.409145,-0.273579,0.0502187,-0.159309,0.465933
8,2,-0.170869,0.270876,-0.250055,0.135268,-0.0201911,-0.241046
8,3,0.0596032,-0.0461539,0.154583,0.359575,-0.244685,0.363383
9,0,0.287143,-0.0871821,0.293685,-0.996624,0.356295,-0.186198
9,1,0.315254,0.407182,-0.268631,0.00396165,-0.196266,0.494739
9,2,-0.168922,0.270534,-0.252153,0.19468,-0.034187,-0.209757
9,3,0.0642377,-0.0484792,0.158495,0.463451,-0.232528,0.391219
10,0,0.275875,-0.0832193,0.290843,-1.12675,0.396276,-0.284227
10,1,0.314825,0.404845,-0.263397,-0.0429011,-0.233675,0.523405
10,2,-0.166379,0.270056,-0.253933,0.254278,-0.0477971,-0.178046
10,3,0.0700462,-0.0506941,0.162784,0.580843,-0.221491,0.428872
11,0,0.263119,-0.0788407,0.286876,-1.27558,0.437859,-0.396685
11,1,0.31392,0.402129,-0.257877,-0.090537,-0.271675,0.552029
11,2,-0.163236,0.269446,-0.255391,0.314273,-0.0610228,-0.145826
11,3,0.0772193,-0.0528126,0.167589,0.717311,-0.211848,0.480487
12,0,0.248595,-0.0740257,0.281566,-1.45248,0.481506,-0.530952
12,1,0.312529,0.399025,-0.25207,-0.139128,-0.310415,0.580705
12,2,-0.159488,0.268707,-0.256521,0.374888,-0.0738622,-0.112998
12,3,0.0860411,-0.0548517,0.173122,0.882184,-0.203916,0.55325
13,0,0.231846,-0.0687495,0.274555,-1.67487,0.527615,-0.701141
13,1,0.31064,0.395524,-0.245975,-0.188877,-0.350053,0.609529
13,2,-0.155124,0.267844,-0.257316,0.436358,-0.0863105,-0.0794433
13,3,0.0969697,-0.0568311,0.179732,1.09286,-0.197938,0.66106
14,0,0.212038,-0.0629918,0.265162,-1.98077,0.575768,-0.939295
14,1,0.30824,0.391616,-0.239589,-0.240008,-0.390762,0.638592
14,2,-0.150135,0.266861,-0.257766,0.498939,-0.0983622,-0.045016
14,3,0.110843,-0.0587644,0.188089,1.38731,-0.193331,0.835723
15,0,0.187254,-0.0567987,0.251732,-2.47844,0.619315,-1.34294
15,1,0.305312,0.387289,-0.232909,-0.292781,-0.432722,0.667982
15,2,-0.144506,0.26576,-0.257861,0.562906,-0.110015,-0.00953251
15,3,0.129581,-0.0605971,0.199834,1.87378,-0.183265,1.1745
16,0,0.150106,-0.0511677,0.226915,-3.71479,0.563096,-2.4818
16,1,0.301837,0.382528,-0.225931,-0.347505,-0.476121,0.697765
16,2,-0.13822,0.264548,-0.257589,0.628559,-0.121286,0.0272609
16,3,0.160573,-0.0613208,0.222302,3.0992,-0.0723763,2.24678
17,0,0.403613,-0.327251,0.0736447,25.3507,-27.6084,-15.327
17,1,0.297791,0.377317,-0.218652,-0.404584,-0.521091,0.727901
17,2,-0.131258,0.263224,-0.25693,0.696198,-0.132331,0.0658151
17,3,-0.0991958,0.22023,0.372535,-25.9768,28.1551,15.0233
18,0,0.656916,-0.602983,-0.0796824,25.3303,-27.5731,-15.3327
18,1,0.293181,0.371782,-0.2112,-0.460993,-0.553464,0.74522
18,2,-0.123715,0.261921,-0.255928,0.754294,-0.130342,0.100258
18,3,-0.358777,0.501733,0.522307,-25.9581,28.1502,14.9772
19,0,0.910115,-0.87855,-0.233018,25.3199,-27.5568,-15.3335
19,1,0.288024,0.366042,-0.203716,-0.515755,-0.574067,0.748429
19,2,-0.115651,0.260739,-0.254732,0.8064,-0.118199,0.119608
19,3,-0.618228,0.783156,0.671862,-25.9451,28.1423,14.9555
20,0,1.16325,-1.15403,-0.386346,25.3137,-27.5478,-15.3328
20,1,0.282307,0.360131,-0.196264,-0.571695,-0.591084,0.745193
20,2,-0.107046,0.259699,-0.253409,0.860532,-0.103968,0.13223
20,3,-0.877599,1.06452,0.821316,-25.9371,28.1362,14.9454
21,0,1.41635,-1.42945,-0.539665,25.3097,-27.5424,-15.3319
21,1,0.276001,0.354057,-0.18888,-0.630581,-0.6074,0.7384
21,2,-0.0978616,0.258811,-0.251975,0.918411,-0.0888516,0.143465
21,3,-1.13692,1.34584,0.970717,-25.932,28.1319,14.9401
22,0,1.66942,-1.70484,-0.692976,25.3069,-27.5387,-15.3311
22,1,0.269065,0.347816,-0.181592,-0.693574,-0.624045,0.728774
22,2,-0.0880533,0.258082,-0.25042,0.980828,-0.0728295,0.155465
22,3,-1.39621,1.62713,1.12009,-25.9287,28.1289,14.9369
23,0,1.92247,-1.9802,-0.846281,25.3048,-27.5362,-15.3304
23,1,0.261447,0.341401,-0.17443,-0.761759,-0.641524,0.71623
23,2,-0.0775667,0.257525,-0.248726,1.04866,-0.0557159,0.169399
23,3,-1.65547,1.90839,1.26943,-25.9263,28.1267,14.9348
24,0,2.1755,-2.25554,-0.999579,25.3033,-27.5342,-15.3298
24,1,0.253084,0.334799,-0.167427,-0.836391,-0.660206,0.700255
24,2,-0.066336,0.257152,-0.246864,1.12307,-0.0372698,0.186249
24,3,-1.91471,2.18964,1.41877,-25.9245,28.125,14.9333
25,0,2.42852,-2.53087,-1.15287,25.3021,-27.5328,-15.3293
25,1,0.243893,0.327995,-0.160628,-0.919079,-0.680448,0.679948
25,2,-0.0542798,0.256981,-0.244792,1.20561,-0.0171882,0.207136
25,3,-2.17395,2.47088,1.56809,-25.9231,28.1237,14.9323
26,0,2.68153,-2.80619,-1.30616,25.3011,-27.5316,-15.3289
26,1,0.233773,0.320968,-0.154089,-1.012,-0.702675,0.653901
26,2,-0.0412956,0.25703,-0.242456,1.29843,0.00492304,0.233585
26,3,-2.43317,2.75211,1.7174,-25.9221,28.1227,14.9314
27,0,2.93453,-3.08149,-1.45945,25.3003,-27.5306,-15.3286
27,1,0.222591,0.313694,-0.14789,-1.11821,-0.727433,0.619911
27,2,-0.0272499,0.257326,-0.239778,1.40457,0.0295945,0.267863
27,3,-2.69238,3.03333,1.86671,-25.9212,28.1218,14.9308
28,0,3.18753,-3.35679,-1.61273,25.2996,-27.5299,-15.3282
28,1,0.210168,0.306139,-0.142146,-1.24226,-0.755469,0.574388
28,2,-0.0119643,0.257901,-0.236642,1.52856,0.0575639,0.313598
28,3,-2.95158,3.31454,2.01601,-25.9205,28.1211,14.9303
29,0,3.44052,-3.63208,-1.76601,25.2991,-27.5292,-15.328
29,1,0.196256,0.29826,-0.137035,-1.39118,-0.787846,0.51111
29,2,0.00481017,0.2588,-0.232871,1.67745,0.0898892,0.377036
29,3,-3.21078,3.59574,2.16531,-25.9199,28.1205,14.9298
30,0,3.69351,-3.90737,-1.91929,25.2986,-27.5286,-15.3277
30,1,0.180489,0.289999,-0.132852,-1.57675,-0.826122,0.418277
30,2,0.02344,0.260082,-0.228172,1.86299,0.128123,0.469992
30,3,-3.46997,3.87694,2.31461,-25.9193,28.12,14.9295
31,0,3.94649,-4.18265,-2.07256,25.2982,-27.5282,-15.3275
31,1,0.162286,0.281274,-0.130147,-1.8203,-0.872537,0.270509
31,2,0.0445051,0.261827,-0.221993,2.10651,0.174504,0.617856
31,3,-3.72916,4.15814,2.4639,-25.9189,28.1195,14.9292
32,0,4.19947,-4.45793,-2.22583,25.2978,-27.5277,-15.3273
32,1,0.140636,0.271979,-0.130129,-2.16498,-0.929464,0.00176671
32,2,0.0690168,0.264141,-0.213126,2.45117,0.231403,0.886675
32,3,-3.98835,4.43933,2.61319,-25.9185,28.1191,14.9289
33,0,4.45244,-4.7332,-2.37911,25.2975,-27.5274,-15.3272
33,1,0.113592,0.262094,-0.136362,-2.70439,-0.988514,-0.623303
33,2,0.0989225,0.267045,-0.198008,2.99057,0.290428,1.51181
33,3,-4.24753,4.72051,2.76247,-25.9182,28.1188,14.9287
34,0,4.70541,-5.00847,-2.53238,25.2972,-27.527,-15.327
34,1,0.0808373,0.254136,-0.166593,-3.27548,-0.79579,-3.02312
34,2,0.134539,0.268022,-0.158892,3.56164,0.0976844,3.91167
34,3,-4.50671,5.0017,2.91176,-25.9179,28.1185,14.9285
35,0,4.95838,-5.28374,-2.68565,25.2969,-27.5267,-15.3269
35,1,0.0786471,0.254081,-0.192441,-0.219025,-0.00549155,-2.58474
35,2,0.139591,0.261095,-0.124158,0.50518,-0.692632,3.47334
35,3,-4.76589,5.28288,3.06104,-25.9176,28.1182,14.9283
36,0,5.21135,-5.55901,-2.83891,25.2967,-27.5265,-15.3268
36,1,0.0843351,0.254933,-0.209461,0.568801,0.0851749,-1.70202
36,2,0.136764,0.253262,-0.0982517,-0.282653,-0.783314,2.59065
36,3,-5.02506,5.56406,3.21032,-25.9174,28.1179,14.9281
37,0,5.46431,-5.83427,-2.99218,25.2965,-27.5262,-15.3267
37,1,0.092843,0.255695,-0.2205,0.850793,0.076182,-1.10386
